Customer_rating,Cost_of_the_Product,Weight_in_gms,Reached.on.Time_Y.N,order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipping_distance_km,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Cost_to_Weight_Ratio
1,174,1556,1,ORD00044,SUP_007,4.93,5,2025-03-12,2025-03-17,2025-03-20,1667,20.82,348,Storm,West,No,0.92,LocalTruckers,Traffic,0,False,True,True,False,0.11182519273018945
1,151,1328,1,ORD00045,SUP_017,4.99,7,2025-10-12,2025-10-19,2025-10-22,953,35.5,302,Storm,East,Yes,0.82,DHL,Traffic,0,False,True,True,False,0.11370481919148732
1,210,2944,1,ORD00046,SUP_003,3.1,5,2025-01-10,2025-01-15,2025-01-19,1543,47.8,630,Storm,North,Yes,0.83,LocalTruckers,Weather,0,False,True,True,False,0.07133152171490098
4,169,1245,1,ORD00047,SUP_011,4.75,9,2025-12-18,2025-12-27,2025-12-31,410,26.03,676,Storm,East,No,0.6,DHL,Weather,0,False,True,False,True,0.13574297177851968
1,160,1576,1,ORD00048,SUP_006,2.74,7,2025-09-16,2025-09-23,2025-09-21,1927,16.46,320,Rainy,East,No,0.8,FedEx,Weather,1,False,True,True,False,0.10152284257517585
4,190,3753,1,ORD00049,SUP_006,4.27,11,2025-04-05,2025-04-16,2025-04-18,1668,12.74,380,Clear,North,Yes,0.77,LocalTruckers,Traffic,0,False,True,False,True,0.05062616572058989
3,216,2146,1,ORD00050,SUP_015,3.05,9,2025-11-28,2025-12-07,2025-12-07,1997,48.52,648,Storm,East,No,0.66,FedEx,Weather,1,False,True,True,False,0.10065237646754317
1,183,2042,1,ORD00051,SUP_007,3.25,4,2025-01-22,2025-01-26,2025-01-29,1011,40.55,549,Rainy,West,No,0.75,FedEx,Customs,0,False,True,True,False,0.08961802150361507
4,141,1735,1,ORD00052,SUP_011,4.87,6,2025-12-04,2025-12-10,2025-12-10,1658,46.76,423,Rainy,East,No,0.96,LocalTruckers,Weather,1,False,True,True,False,0.08126801148053717
3,165,1320,1,ORD00053,SUP_017,3.16,11,2025-11-25,2025-12-06,2025-12-04,1428,37.95,495,Clear,West,No,0.5,DHL,Weather,1,False,True,True,False,0.12499999990530301
1,170,1128,1,ORD00054,SUP_018,4.18,14,2025-05-17,2025-05-31,2025-06-03,1799,23.7,510,Clear,North,No,0.7,FedEx,Weather,0,False,True,True,False,0.15070921972454854
3,203,3539,1,ORD00055,SUP_019,2.95,4,2025-03-05,2025-03-09,2025-03-12,75,14.92,609,Clear,East,Yes,0.66,LocalTruckers,Customs,0,False,True,False,False,0.05736083637825351
5,246,2437,1,ORD00056,SUP_008,2.73,12,2025-04-24,2025-05-06,2025-05-08,1363,47.17,1230,Clear,South,Yes,0.97,LocalTruckers,Weather,0,False,True,True,False,0.10094378329875102
3,238,3096,1,ORD00057,SUP_020,3.35,11,2025-04-18,2025-04-29,2025-04-29,120,29.58,714,Clear,East,Yes,0.98,DHL,Weather,1,False,True,True,False,0.07687338498809
3,193,3453,1,ORD00058,SUP_008,4.06,12,2025-01-06,2025-01-18,2025-01-23,1935,25.86,579,Rainy,North,Yes,0.79,FedEx,Weather,0,False,True,False,True,0.055893425990184355
5,141,1367,1,ORD00059,SUP_011,3.12,7,2025-06-10,2025-06-17,2025-06-17,1762,33.11,423,Clear,South,No,0.77,DHL,Weather,1,False,True,False,False,0.1031455741747289
1,150,1923,1,ORD00060,SUP_003,3.25,4,2025-02-21,2025-02-25,2025-02-25,1162,14.26,450,Rainy,West,Yes,0.94,LocalTruckers,Weather,1,False,True,False,False,0.07800312008424175
1,221,2794,1,ORD00061,SUP_014,4.27,6,2025-09-24,2025-09-30,2025-10-02,226,22.37,663,Storm,South,No,0.5,LocalTruckers,Traffic,0,False,True,True,False,0.0790980672587337
3,179,1158,1,ORD00062,SUP_009,2.76,14,2025-12-01,2025-12-15,2025-12-18,76,35.52,537,Storm,West,Yes,0.78,DHL,Weather,0,False,True,False,True,0.15457685651590944
1,105,1292,1,ORD00063,SUP_001,3.62,14,2025-06-15,2025-06-29,2025-06-27,1362,14.0,630,Clear,North,No,0.51,FedEx,Weather,1,False,True,False,True,0.08126934978229926
1,177,1880,1,ORD00064,SUP_001,4.85,9,2025-06-11,2025-06-20,2025-06-20,889,15.41,531,Storm,West,No,0.97,DHL,Weather,1,False,True,False,True,0.09414893612013354
5,261,3045,1,ORD00065,SUP_012,3.49,14,2025-04-14,2025-04-28,2025-04-29,866,30.42,522,Rainy,North,No,0.66,FedEx,Traffic,0,False,True,False,False,0.08571428568613652
2,202,2881,1,ORD00066,SUP_011,3.59,10,2025-10-09,2025-10-19,2025-10-24,624,34.94,606,Storm,East,No,0.76,FedEx,Weather,0,False,True,True,False,0.07011454353692657
2,109,1710,1,ORD00067,SUP_001,4.35,5,2025-12-16,2025-12-21,2025-12-26,1049,17.48,327,Storm,South,Yes,0.7,LocalTruckers,Traffic,0,False,True,False,True,0.0637426900212031
3,158,1878,1,ORD00068,SUP_020,4.45,3,2025-10-05,2025-10-08,2025-10-10,580,11.32,474,Storm,South,Yes,0.94,LocalTruckers,Customs,0,False,True,True,False,0.08413205533326301
2,231,2512,1,ORD00069,SUP_012,4.42,6,2025-09-24,2025-09-30,2025-09-29,1557,48.33,924,Storm,South,No,0.99,DHL,Weather,1,False,True,False,True,0.09195859868950693
5,206,2929,1,ORD00070,SUP_017,4.99,4,2025-12-15,2025-12-19,2025-12-17,1507,11.1,618,Rainy,West,No,0.53,FedEx,Weather,1,False,True,False,True,0.0703311710241273
1,187,3849,1,ORD00071,SUP_015,2.68,10,2025-07-08,2025-07-18,2025-07-19,542,10.08,748,Storm,North,No,0.86,DHL,Customs,0,False,True,False,False,0.048584047792002066
5,230,2229,1,ORD00072,SUP_002,4.96,6,2025-07-19,2025-07-25,2025-07-25,327,22.93,460,Clear,East,No,0.68,FedEx,Weather,1,False,True,True,False,0.10318528483482042
5,232,2998,1,ORD00073,SUP_018,4.88,4,2025-08-25,2025-08-29,2025-08-28,1048,18.9,696,Rainy,North,No,0.57,DHL,Weather,1,False,True,False,True,0.07738492325637594
5,215,3984,1,ORD00074,SUP_016,4.63,8,2025-02-07,2025-02-15,2025-02-13,1419,32.94,645,Clear,South,No,0.7,DHL,Weather,1,False,True,False,True,0.053965863440269615
1,238,2442,1,ORD00075,SUP_004,3.64,8,2025-08-09,2025-08-17,2025-08-19,1652,45.77,1428,Rainy,West,Yes,0.99,DHL,Traffic,0,False,True,True,False,0.09746109742118711
1,266,3775,1,ORD00076,SUP_008,4.68,12,2025-03-19,2025-03-31,2025-03-30,1311,29.24,798,Storm,East,Yes,0.68,LocalTruckers,Weather,1,False,True,True,False,0.07046357614027456
3,158,1788,1,ORD00077,SUP_002,3.05,6,2025-09-22,2025-09-28,2025-10-01,1210,40.93,316,Rainy,East,No,0.64,DHL,Weather,0,False,True,False,True,0.088366890330891
3,113,1518,1,ORD00078,SUP_014,4.48,8,2025-08-17,2025-08-25,2025-08-29,1236,46.37,339,Clear,West,Yes,0.91,DHL,Traffic,0,False,True,True,False,0.07444005265188401
4,223,3959,1,ORD00079,SUP_015,2.96,4,2025-08-24,2025-08-28,2025-08-27,888,17.58,669,Clear,North,Yes,0.93,FedEx,Weather,1,False,True,True,False,0.056327355378548286
5,257,3711,1,ORD00080,SUP_009,4.54,12,2025-01-09,2025-01-21,2025-01-25,896,29.53,514,Rainy,West,Yes,0.67,LocalTruckers,Customs,0,False,True,False,True,0.06925357044751992
4,180,1942,1,ORD00081,SUP_002,4.04,14,2025-11-10,2025-11-24,2025-11-29,949,35.68,360,Clear,South,Yes,0.65,FedEx,Weather,0,False,True,False,True,0.09268795051869827
5,132,1759,1,ORD00082,SUP_017,2.75,4,2025-06-21,2025-06-25,2025-06-26,342,23.28,396,Clear,South,Yes,0.82,DHL,Weather,0,False,True,True,False,0.07504263781975973
4,217,2875,1,ORD00083,SUP_010,4.74,12,2025-07-25,2025-08-06,2025-08-04,1101,39.59,651,Rainy,South,Yes,0.6,DHL,Weather,1,False,True,False,False,0.07547826084331191
5,162,1364,1,ORD00084,SUP_009,3.94,6,2025-06-15,2025-06-21,2025-06-22,305,38.21,486,Storm,East,Yes,0.74,DHL,Weather,0,False,True,False,False,0.11876832835867424
5,197,2710,1,ORD00085,SUP_002,4.14,10,2025-11-10,2025-11-20,2025-11-21,954,26.84,394,Storm,South,No,0.57,LocalTruckers,Traffic,0,False,True,False,True,0.07269372691044512
4,197,2148,1,ORD00086,SUP_019,3.21,9,2025-04-05,2025-04-14,2025-04-14,1876,13.52,591,Storm,North,No,0.65,FedEx,Weather,1,False,True,False,True,0.09171322155879273
1,185,2910,1,ORD00087,SUP_017,4.68,14,2025-04-05,2025-04-19,2025-04-21,1697,10.46,370,Clear,East,Yes,0.65,LocalTruckers,Traffic,0,False,True,True,False,0.06357388313966533
2,278,2974,1,ORD00088,SUP_011,3.86,11,2025-12-25,2026-01-05,2026-01-04,1825,24.77,834,Clear,North,No,0.84,DHL,Weather,1,False,True,False,True,0.09347679889257673
3,229,2339,1,ORD00089,SUP_017,3.55,10,2025-08-09,2025-08-19,2025-08-17,1828,13.28,687,Storm,East,No,0.64,FedEx,Weather,1,False,True,True,False,0.09790508760243477
1,186,3880,1,ORD00090,SUP_010,3.84,7,2025-05-15,2025-05-22,2025-05-27,714,41.26,744,Rainy,North,Yes,0.94,DHL,Traffic,0,False,True,False,True,0.04793814431754172
3,174,1085,1,ORD00091,SUP_018,4.26,4,2025-06-21,2025-06-25,2025-06-28,314,23.37,1044,Storm,South,No,0.98,DHL,Weather,0,False,True,False,False,0.1603686634466648
5,286,3163,1,ORD00092,SUP_006,4.24,7,2025-04-15,2025-04-22,2025-04-24,1637,36.64,858,Rainy,East,No,0.54,LocalTruckers,Weather,0,False,True,True,False,0.0904204868509578
4,175,1188,1,ORD00093,SUP_016,3.39,10,2025-06-09,2025-06-19,2025-06-21,1554,23.86,350,Clear,North,Yes,0.69,DHL,Customs,0,False,True,False,True,0.14730639718240202
3,219,3387,1,ORD00094,SUP_018,3.46,12,2025-08-27,2025-09-08,2025-09-06,450,41.84,657,Clear,East,Yes,0.65,DHL,Weather,1,False,True,False,True,0.06465899023777415
1,213,2343,1,ORD00095,SUP_020,3.91,11,2025-03-05,2025-03-16,2025-03-18,509,45.54,852,Storm,East,Yes,0.67,DHL,Weather,0,False,True,False,False,0.09090909087029062
3,235,2034,1,ORD00096,SUP_018,4.81,14,2025-12-25,2026-01-08,2026-01-08,826,43.5,705,Rainy,South,No,0.63,DHL,Weather,1,False,True,True,False,0.11553588981537075
3,149,1225,1,ORD00097,SUP_001,4.36,14,2025-08-02,2025-08-16,2025-08-18,1639,29.38,298,Rainy,East,No,0.69,FedEx,Customs,0,False,True,False,True,0.12163265296193251
1,271,2401,1,ORD00098,SUP_003,3.48,14,2025-11-13,2025-11-27,2025-12-02,1206,13.36,542,Storm,West,Yes,0.57,DHL,Weather,0,False,True,False,True,0.11286963760396934
5,144,1104,1,ORD00099,SUP_015,3.34,11,2025-08-17,2025-08-28,2025-09-02,1070,24.87,576,Rainy,North,Yes,0.64,LocalTruckers,Weather,0,False,True,False,True,0.13043478249054818
2,145,1617,1,ORD00100,SUP_020,3.81,3,2025-03-12,2025-03-15,2025-03-15,1264,26.98,290,Clear,West,No,0.87,LocalTruckers,Weather,1,False,True,False,True,0.08967223247391945
3,143,1837,1,ORD00101,SUP_010,4.67,11,2025-01-12,2025-01-23,2025-01-22,1197,48.41,286,Rainy,East,No,0.67,FedEx,Weather,1,False,True,False,True,0.07784431133486973
5,227,2624,1,ORD00102,SUP_005,2.52,9,2025-05-06,2025-05-15,2025-05-14,1504,32.62,908,Clear,North,No,0.6,DHL,Weather,1,False,True,True,False,0.08650914630849499
1,213,2732,1,ORD00103,SUP_015,4.28,11,2025-06-01,2025-06-12,2025-06-13,1291,35.63,639,Storm,West,Yes,0.55,LocalTruckers,Customs,0,False,True,True,False,0.07796486087922223
1,144,1658,1,ORD00104,SUP_014,3.24,10,2025-03-24,2025-04-03,2025-04-08,1950,41.28,576,Rainy,West,No,0.67,LocalTruckers,Traffic,0,False,True,True,False,0.0868516284156504
3,218,2255,1,ORD00105,SUP_015,3.02,3,2025-07-17,2025-07-20,2025-07-20,452,32.73,654,Storm,South,No,0.82,LocalTruckers,Weather,1,False,True,True,False,0.09667405760679643
2,144,1588,1,ORD00106,SUP_010,2.53,14,2025-09-18,2025-10-02,2025-10-05,1044,33.94,432,Storm,West,Yes,0.62,DHL,Customs,0,False,True,False,True,0.09068010069856416
1,238,2624,1,ORD00107,SUP_009,4.74,10,2025-05-18,2025-05-28,2025-05-27,1395,19.81,714,Rainy,East,No,0.71,FedEx,Weather,1,False,True,True,False,0.09070121947762912
5,216,2053,1,ORD00108,SUP_012,4.78,10,2025-09-05,2025-09-15,2025-09-17,350,12.35,648,Rainy,North,Yes,0.97,FedEx,Customs,0,False,True,False,False,0.10521188499502587
5,238,3257,1,ORD00109,SUP_007,2.65,13,2025-01-20,2025-02-02,2025-01-31,1144,38.86,714,Rainy,East,No,0.77,FedEx,Weather,1,False,True,False,False,0.07307338038898577
1,141,1250,1,ORD00110,SUP_005,3.8,5,2025-05-20,2025-05-25,2025-05-23,263,43.95,423,Clear,West,No,0.76,LocalTruckers,Weather,1,False,True,False,True,0.11279999990975999
1,158,1284,1,ORD00111,SUP_010,2.88,3,2025-11-17,2025-11-20,2025-11-24,923,26.48,316,Storm,East,No,0.7,FedEx,Weather,0,True,False,True,False,0.12305295940572199
2,239,3679,1,ORD00112,SUP_008,4.4,10,2025-12-25,2026-01-04,2026-01-09,1618,31.96,717,Clear,West,No,0.77,LocalTruckers,Customs,0,True,False,True,False,0.0649633052283329
3,175,1816,1,ORD00113,SUP_020,4.16,5,2025-08-18,2025-08-23,2025-08-23,423,22.29,350,Storm,South,No,0.98,FedEx,Weather,1,True,False,True,False,0.09636563871345503
2,263,2817,1,ORD00114,SUP_016,3.24,5,2025-07-25,2025-07-30,2025-08-02,1409,28.01,789,Storm,East,No,0.62,LocalTruckers,Weather,0,True,False,True,False,0.09336173230622587
5,168,1616,1,ORD00115,SUP_012,2.79,3,2025-06-10,2025-06-13,2025-06-14,1244,18.36,336,Clear,East,Yes,0.96,DHL,Weather,0,True,False,False,False,0.10396039597527203
4,176,1779,1,ORD00116,SUP_009,4.58,13,2025-04-08,2025-04-21,2025-04-23,393,40.4,528,Storm,South,Yes,0.57,LocalTruckers,Weather,0,True,False,False,False,0.09893198420520967
1,150,1024,1,ORD00117,SUP_010,4.19,7,2025-05-18,2025-05-25,2025-05-25,1529,29.68,600,Clear,East,No,0.55,FedEx,Weather,1,True,False,False,False,0.14648437485694885
3,265,2326,1,ORD00118,SUP_016,2.52,12,2025-09-07,2025-09-19,2025-09-23,911,31.89,530,Rainy,West,Yes,0.82,LocalTruckers,Customs,0,True,False,False,True,0.1139294926423347
5,263,2947,1,ORD00119,SUP_010,4.07,9,2025-09-24,2025-10-03,2025-10-01,1483,11.48,789,Storm,South,No,0.62,DHL,Weather,1,True,False,True,False,0.08924329823914377
1,145,1387,1,ORD00120,SUP_009,4.53,12,2025-09-14,2025-09-26,2025-09-26,350,34.9,435,Clear,East,Yes,0.72,FedEx,Weather,1,True,False,True,False,0.10454217728583837
2,183,2741,1,ORD00121,SUP_003,3.98,11,2025-07-14,2025-07-25,2025-07-27,1569,18.11,549,Rainy,West,Yes,0.86,DHL,Traffic,0,True,False,True,False,0.06676395473667861
3,205,2167,1,ORD00122,SUP_019,3.56,14,2025-02-19,2025-03-05,2025-03-08,1364,25.34,615,Storm,West,Yes,0.76,FedEx,Weather,0,True,False,False,True,0.09460083059778458
2,160,1714,1,ORD00123,SUP_011,3.96,9,2025-03-08,2025-03-17,2025-03-22,798,26.51,480,Storm,North,Yes,0.51,DHL,Traffic,0,True,False,True,False,0.09334889142745105
3,252,2102,1,ORD00124,SUP_006,4.05,11,2025-02-19,2025-03-02,2025-03-05,1922,27.95,504,Storm,North,Yes,0.65,FedEx,Weather,0,True,False,False,True,0.11988582296865566
5,222,2280,1,ORD00125,SUP_006,4.1,10,2025-02-01,2025-02-11,2025-02-10,486,19.1,666,Storm,North,Yes,0.53,DHL,Weather,1,True,False,True,False,0.09736842100992614
3,203,3607,1,ORD00126,SUP_015,4.92,14,2025-04-15,2025-04-29,2025-05-01,151,44.0,406,Rainy,South,Yes,0.95,FedEx,Weather,0,True,False,True,False,0.05627945659654021
5,220,3516,1,ORD00127,SUP_015,2.95,4,2025-03-04,2025-03-08,2025-03-12,59,27.11,660,Storm,West,Yes,0.89,LocalTruckers,Weather,0,True,False,False,True,0.06257110350893882
3,147,1722,1,ORD00128,SUP_013,4.06,3,2025-09-16,2025-09-19,2025-09-18,1114,34.49,588,Storm,South,No,0.98,DHL,Weather,1,True,False,True,False,0.08536585360896291
4,200,2060,1,ORD00129,SUP_005,2.97,9,2025-05-13,2025-05-22,2025-05-21,419,34.56,800,Rainy,South,Yes,0.93,FedEx,Weather,1,True,False,False,True,0.09708737859364691
5,224,2026,1,ORD00130,SUP_014,3.02,9,2025-09-21,2025-09-30,2025-09-29,175,34.28,896,Rainy,South,Yes,0.73,FedEx,Weather,1,True,False,False,True,0.11056268503920894
5,179,1364,1,ORD00131,SUP_002,4.17,10,2025-02-26,2025-03-08,2025-03-08,834,32.37,358,Storm,South,No,0.93,LocalTruckers,Weather,1,True,False,True,False,0.1312316714580413
4,144,1865,1,ORD00132,SUP_012,4.79,7,2025-11-20,2025-11-27,2025-12-01,432,42.91,432,Rainy,South,No,0.83,DHL,Weather,0,True,False,True,False,0.07721179620524836
2,247,3889,1,ORD00133,SUP_020,2.9,5,2025-08-17,2025-08-22,2025-08-20,376,42.5,741,Rainy,East,No,0.76,FedEx,Weather,1,False,False,True,False,0.06351247105592377
4,280,3582,1,ORD00134,SUP_014,4.91,14,2025-02-17,2025-03-03,2025-03-06,499,26.69,1680,Clear,North,Yes,0.68,FedEx,Weather,0,False,False,False,True,0.0781686208603661
3,168,1829,1,ORD00135,SUP_019,3.3,10,2025-04-05,2025-04-15,2025-04-20,572,35.43,336,Rainy,South,No,0.83,LocalTruckers,Traffic,0,False,False,False,True,0.0918534717923163
5,157,1889,1,ORD00136,SUP_020,3.48,8,2025-12-08,2025-12-16,2025-12-16,1904,14.11,471,Clear,East,Yes,0.79,LocalTruckers,Weather,1,False,False,False,True,0.08311275802905624
3,189,2208,1,ORD00137,SUP_015,2.88,13,2025-06-10,2025-06-23,2025-06-21,1059,13.63,756,Clear,East,No,0.8,DHL,Weather,1,False,False,False,True,0.0855978260481894
