order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipping_distance_km,order_quantity,unit_price,total_order_value,previous_on_time_rate,on_time_delivery,shipment_mode_Road,shipment_mode_Sea,weather_condition_Cloudy,weather_condition_Rainy,weather_condition_Storm,region_East,region_North,region_South,region_West,holiday_period_Yes,carrier_name_DHL,carrier_name_Delhivery,carrier_name_EcomExpress,carrier_name_FedEx,delayed_reason_code_Operational,delayed_reason_code_Traffic,delayed_reason_code_Weather,promised_duration_days,actual_duration_days,delay_days
11,1100,0.8800000000000001,0.125,2024-07-31,2024-08-03,2024-08-07,0.6550335570469799,0.35353535353535354,0.35176581063977463,0.13124213747575508,0.46999999999999975,0,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,0.125,0.4285714285714286,0.8333333333333333
12,8103,0.08000000000000007,0.625,2024-08-07,2024-08-14,2024-08-16,0.5912751677852349,0.5353535353535355,0.1376250357244927,0.0835348905550245,0.23999999999999977,0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,0.625,0.5714285714285714,0.5
13,4638,0.6000000000000001,0.875,2024-05-29,2024-06-07,2024-06-11,0.776510067114094,0.33333333333333337,0.9184624178336668,0.3129802249897947,0.9499999999999997,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0.875,0.8571428571428571,0.8333333333333333
14,1801,0.040000000000000036,0.875,2024-07-13,2024-07-22,2024-07-22,0.212751677852349,0.1414141414141414,0.02291062752623198,0.006137878819470044,0.6199999999999997,1,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.875,0.5714285714285714,0.16666666666666666
15,5111,0.6800000000000002,0.25,2024-05-13,2024-05-17,2024-05-22,0.5825503355704698,0.6262626262626264,0.39657453149879557,0.25756153786883296,0.25,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0.25,0.5714285714285714,0.9999999999999999
16,2382,0.72,0.625,2024-01-21,2024-01-28,2024-01-29,0.6080536912751677,0.6262626262626264,0.522686073572041,0.33551357429027756,0.79,0,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,0.625,0.5,0.3333333333333333
17,1466,0.6000000000000001,0.375,2024-05-24,2024-05-29,2024-05-28,0.41208053691275165,0.04040404040404041,0.6380414812395379,0.032053051154625,0.3099999999999996,1,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,0.375,0.21428571428571427,0.0
18,7703,0.040000000000000036,0.5,2024-10-13,2024-10-19,2024-10-21,0.2657718120805369,0.6363636363636365,0.12491936471644961,0.09107309960126392,0.3799999999999999,0,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,0.5,0.5,0.5
19,1431,0.6000000000000001,0.5,2024-10-22,2024-10-28,2024-10-29,0.9161073825503355,0.12121212121212123,0.682464377577267,0.0894107094347527,0.8266666666666662,0,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,0.5,0.4285714285714286,0.3333333333333333
20,9092,0.6000000000000001,0.625,2024-05-01,2024-05-08,2024-05-09,0.8255033557046979,0.5353535353535355,0.34268770669170784,0.19218056722998136,0.48666666666666636,0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,0.625,0.5,0.3333333333333333
21,4322,0.52,0.625,2024-07-30,2024-08-06,2024-08-07,0.487248322147651,0.15151515151515152,0.4452598701669864,0.07286558197806343,0.9366666666666661,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.625,0.5,0.3333333333333333
22,1829,0.20000000000000018,0.25,2024-06-25,2024-06-29,2024-06-29,0.9348993288590604,0.47474747474747475,0.21962397419670926,0.11284226096679488,0.4099999999999997,1,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,0.25,0.21428571428571427,0.16666666666666666
23,1847,0.8800000000000001,0.5,2024-11-12,2024-11-18,2024-11-17,0.06442953020134227,0.21212121212121213,0.5950781856040501,0.1326239808999884,0.2599999999999998,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,0.5,0.2857142857142857,0.0
24,1340,0.9199999999999999,0.625,2024-06-21,2024-06-28,2024-06-30,0.7013422818791946,0.9696969696969698,0.607116318948271,0.5970745305959486,0.2999999999999998,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.625,0.5714285714285714,0.5
25,6747,0.2400000000000002,0.5,2024-03-01,2024-03-07,2024-03-09,0.8570469798657718,0.09090909090909093,0.19162005470950882,0.020559988282211318,0.9533333333333331,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,0.5,0.5,0.5
26,8144,0.44000000000000017,0.75,2024-02-21,2024-02-29,2024-03-03,0.3697986577181208,0.7474747474747476,0.928683705548524,0.6982254812672509,0.8433333333333333,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,0.75,0.7142857142857143,0.6666666666666666
27,7596,0.6399999999999999,0.5,2024-10-17,2024-10-23,2024-10-24,0.9395973154362416,0.5252525252525253,0.8448597558486097,0.4497491953784436,0.46999999999999975,0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.5,0.4285714285714286,0.3333333333333333
28,4222,0.56,1.0,2024-01-20,2024-01-30,2024-01-29,0.8154362416107382,0.25252525252525254,0.3150471563303801,0.08534856004933072,0.30666666666666664,1,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,1.0,0.5714285714285714,0.0
29,7943,0.72,1.0,2024-08-10,2024-08-20,2024-08-25,0.8389261744966443,0.8383838383838385,0.1052790593230719,0.10342612927073931,0.040000000000000036,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,0.9999999999999999
30,6965,0.72,0.25,2024-11-06,2024-11-10,2024-11-15,0.042281879194630875,0.7272727272727274,0.7513105785326419,0.552558690640865,0.2633333333333332,0,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,0.25,0.5714285714285714,0.9999999999999999
31,8376,0.9600000000000002,0.75,2024-05-12,2024-05-20,2024-05-22,0.72751677852349,0.7575757575757577,0.9570877393541012,0.7287185307001798,0.6066666666666665,0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.75,0.6428571428571428,0.5
32,3555,0.20000000000000018,0.25,2024-06-14,2024-06-18,2024-06-22,0.8993288590604026,0.8282828282828284,0.6250806352835504,0.5254913478659631,0.753333333333333,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.25,0.5,0.8333333333333333
33,2465,0.2400000000000002,0.25,2024-04-28,2024-05-02,2024-05-07,0.5704697986577181,0.6262626262626264,0.6269485159025027,0.39996025037019173,0.33000000000000007,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.25,0.5714285714285714,0.9999999999999999
34,1870,0.11999999999999988,0.625,2024-10-01,2024-10-08,2024-10-12,0.11543624161073825,0.08080808080808081,0.6945515045114931,0.0628888374943761,0.9133333333333331,0,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,0.625,0.7142857142857143,0.8333333333333333
35,6965,0.8800000000000001,0.625,2024-11-10,2024-11-17,2024-11-16,0.9516778523489933,0.686868686868687,0.7575919650512392,0.5265199992252768,0.6066666666666665,1,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.625,0.3571428571428571,0.0
36,6322,0.6000000000000001,0.125,2024-01-05,2024-01-08,2024-01-12,0.0013422818791946301,0.43434343434343436,0.5376454497203282,0.2407082836838505,0.833333333333333,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0.125,0.4285714285714286,0.8333333333333333
37,9978,0.6000000000000001,0.375,2024-03-30,2024-04-04,2024-04-09,0.7530201342281879,0.030303030303030304,0.2799289592944923,0.011537226902307502,0.08000000000000007,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,0.375,0.6428571428571428,0.9999999999999999
38,9467,0.20000000000000018,0.375,2024-11-18,2024-11-23,2024-11-26,0.7026845637583893,0.30303030303030304,0.40163516106642716,0.1281467296916415,0.06333333333333346,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.375,0.5,0.6666666666666666
39,8295,0.4800000000000002,0.0,2024-01-17,2024-01-19,2024-01-20,0.7953020134228188,0.8080808080808082,0.7292961254235903,0.5956454787279694,0.3966666666666665,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.14285714285714285,0.3333333333333333
40,9053,0.8399999999999999,0.625,2024-09-10,2024-09-17,2024-09-18,0.9919463087248321,0.9494949494949496,0.040795329277752826,0.05689897326942548,0.25,0,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.625,0.5,0.3333333333333333
41,6209,0.8399999999999999,0.625,2024-03-02,2024-03-09,2024-03-10,0.9201342281879195,0.35353535353535354,0.1985056955048381,0.07710893407480034,0.7199999999999998,0,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.625,0.5,0.3333333333333333
42,7820,0.11999999999999988,0.625,2024-05-06,2024-05-13,2024-05-16,0.7302013422818792,0.4545454545454546,0.5641060711223616,0.26360347759388514,0.046666666666666856,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0.625,0.6428571428571428,0.6666666666666666
43,3472,0.8,0.625,2024-02-01,2024-02-08,2024-02-08,0.7167785234899329,0.5050505050505052,0.7122565630996611,0.36641559666035006,0.4199999999999995,1,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0.625,0.4285714285714286,0.16666666666666666
44,9488,0.52,1.0,2024-02-05,2024-02-15,2024-02-15,0.6060402684563758,0.5656565656565657,0.9187951659657861,0.5250601827541607,0.8999999999999999,1,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,1.0,0.6428571428571428,0.16666666666666666
45,6662,0.32000000000000006,0.625,2024-06-21,2024-06-28,2024-06-30,0.49328859060402686,0.8686868686868688,0.6998081084391459,0.6146154017016952,0.32333333333333325,0,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,0.625,0.5714285714285714,0.5
46,1221,0.040000000000000036,1.0,2024-07-12,2024-07-22,2024-07-21,0.5630872483221476,0.5151515151515152,0.8661597191034173,0.45212568085461663,0.44999999999999973,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1.0,0.5714285714285714,0.0
47,5682,0.32000000000000006,0.75,2024-04-18,2024-04-26,2024-04-25,0.7268456375838925,0.8989898989898991,0.2939002980443392,0.27738974520038645,0.8699999999999997,1,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0.75,0.4285714285714286,0.0
48,7072,0.6800000000000002,0.875,2024-09-24,2024-10-03,2024-10-07,0.014093959731543624,0.35353535353535354,0.45970277222063444,0.16936669121625914,0.5599999999999996,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.875,0.8571428571428571,0.8333333333333333
49,5142,0.2400000000000002,0.125,2024-05-22,2024-05-25,2024-05-24,0.6140939597315436,0.6464646464646465,0.8722043032703221,0.5690755370951914,0.8699999999999997,1,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0.125,0.07142857142857142,0.0
50,5021,0.44000000000000017,1.0,2024-07-29,2024-08-08,2024-08-12,0.12953020134228188,0.29292929292929293,0.9417119176907688,0.28297243910165837,0.6933333333333329,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1.0,0.9285714285714286,0.8333333333333333
51,6912,0.8399999999999999,0.125,2024-07-13,2024-07-16,2024-07-16,0.21409395973154363,0.8686868686868688,0.9082574613154779,0.7925465097808104,0.5166666666666666,1,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0.125,0.14285714285714285,0.16666666666666666
52,6991,0.2400000000000002,0.75,2024-10-27,2024-11-04,2024-11-05,0.38120805369127514,0.9797979797979799,0.6753235618339933,0.6688151615975874,0.15666666666666673,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0.75,0.5714285714285714,0.3333333333333333
53,3984,0.9199999999999999,0.25,2024-05-23,2024-05-27,2024-05-30,0.9389261744966443,0.6666666666666667,0.518842118156208,0.3543052788794249,0.6233333333333331,0,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.25,0.4285714285714286,0.6666666666666666
54,1306,0.8,1.0,2024-10-30,2024-11-09,2024-11-10,0.074496644295302,0.0202020202020202,0.35189441881353856,0.010707624127612695,0.9599999999999995,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,1.0,0.7142857142857143,0.3333333333333333
55,4012,0.6800000000000002,0.375,2024-03-05,2024-03-10,2024-03-09,0.34765100671140936,0.9090909090909092,0.04604172620748785,0.05917671558579059,0.7066666666666666,1,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,0.375,0.21428571428571427,0.0
56,5828,0.32000000000000006,0.875,2024-04-27,2024-05-06,2024-05-11,0.025503355704697982,0.585858585858586,0.6018842118156208,0.36004073425734096,0.18000000000000016,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0.875,0.9285714285714286,0.9999999999999999
57,9952,0.72,0.375,2024-05-27,2024-06-01,2024-06-02,0.38053691275167784,0.29292929292929293,0.9334871187686278,0.28055152921809096,0.5966666666666667,0,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0.375,0.3571428571428571,0.3333333333333333
58,9183,0.9199999999999999,0.0,2024-10-25,2024-10-27,2024-10-26,0.20536912751677852,0.13131313131313133,0.22887355570979462,0.0340027979365043,0.29666666666666686,1,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0
59,8900,0.040000000000000036,0.875,2024-11-18,2024-11-27,2024-11-28,0.4563758389261745,0.21212121212121213,0.6210835748989507,0.13823727917208925,0.07666666666666622,0,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0.875,0.6428571428571428,0.3333333333333333
60,3561,0.15999999999999992,1.0,2024-02-02,2024-02-12,2024-02-14,0.021476510067114093,0.8080808080808082,0.706199730535255,0.5772901868587116,0.5333333333333332,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,1.0,0.7857142857142857,0.5
61,7928,0.11999999999999988,0.0,2024-08-14,2024-08-16,2024-08-20,0.7087248322147651,0.7373737373737375,0.7433960723472013,0.5543851787198116,0.8199999999999998,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0,0.3571428571428571,0.8333333333333333
62,4544,0.8,0.125,2024-08-20,2024-08-23,2024-08-26,0.4006711409395973,0.6767676767676769,0.8126219736251173,0.555600340485643,0.6666666666666665,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,0.125,0.3571428571428571,0.6666666666666666
63,4730,0.9199999999999999,0.25,2024-11-10,2024-11-14,2024-11-14,0.7530201342281879,0.12121212121212123,0.35323153554076675,0.04741754690785795,0.5633333333333335,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.25,0.21428571428571427,0.16666666666666666
64,7260,0.6800000000000002,0.25,2024-10-14,2024-10-18,2024-10-21,0.7503355704697986,0.8484848484848486,0.4569632139795044,0.39795484289031924,0.9566666666666666,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.25,0.4285714285714286,0.6666666666666666
65,9554,0.08000000000000007,0.625,2024-10-21,2024-10-28,2024-11-01,0.5167785234899329,0.43434343434343436,0.50095333360552,0.22486819841142083,0.4366666666666661,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0.625,0.7142857142857143,0.8333333333333333
66,9620,0.15999999999999992,0.5,2024-09-07,2024-09-13,2024-09-12,0.35838926174496644,0.35353535353535354,0.8813273180092271,0.31828924210899445,0.009999999999999787,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0.5,0.2857142857142857,0.0
67,4708,0.7600000000000002,0.5,2024-06-08,2024-06-14,2024-06-18,0.7093959731543624,0.0202020202020202,0.3788715143102111,0.011501675358968939,0.5099999999999998,0,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,0.5,0.6428571428571428,0.8333333333333333
68,3448,0.8,0.625,2024-01-17,2024-01-24,2024-01-24,0.4691275167785235,0.18181818181818182,0.4389805250479729,0.08540496182174842,0.6466666666666665,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,0.625,0.4285714285714286,0.16666666666666666
69,7658,0.9199999999999999,0.625,2024-11-15,2024-11-22,2024-11-26,0.20268456375838925,0.13131313131313133,0.4724860164128527,0.06746539267560896,0.73,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.625,0.7142857142857143,0.8333333333333333
70,5891,0.9600000000000002,0.125,2024-05-18,2024-05-21,2024-05-26,0.3221476510067114,0.9090909090909092,0.5796227493569591,0.5355790131648667,0.3900000000000001,0,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,0.125,0.5,0.9999999999999999
71,9571,0.40000000000000013,0.75,2024-07-29,2024-08-06,2024-08-09,0.4046979865771812,0.25252525252525254,0.3953190707549096,0.10582568819926506,0.7366666666666664,0,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,0.75,0.7142857142857143,0.6666666666666666
72,9433,0.8,0.0,2024-11-19,2024-11-21,2024-11-24,0.010067114093959731,0.09090909090909093,0.7087657698117829,0.0712993512253936,0.3999999999999999,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.0,0.2857142857142857,0.6666666666666666
73,5686,0.4800000000000002,0.75,2024-10-10,2024-10-18,2024-10-20,0.6449664429530201,0.16161616161616163,0.1415486057240844,0.026778283691261263,0.4599999999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75,0.6428571428571428,0.5
74,8811,0.040000000000000036,0.5,2024-04-28,2024-05-04,2024-05-09,0.7966442953020134,0.6969696969696971,0.24452496631690682,0.18178012846585234,0.8166666666666664,0,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.5,0.7142857142857143,0.9999999999999999
75,8434,0.6000000000000001,0.75,2024-11-08,2024-11-16,2024-11-16,0.4302013422818792,0.4545454545454546,0.014175478708202346,0.015405755572544184,0.9499999999999997,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.75,0.5,0.16666666666666666
76,8166,0.2400000000000002,0.875,2024-01-05,2024-01-14,2024-01-17,0.39999999999999997,0.29292929292929293,0.2912668925815539,0.09151866559174823,0.8300000000000001,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,0.875,0.7857142857142857,0.6666666666666666
77,9822,0.44000000000000017,0.875,2024-08-01,2024-08-10,2024-08-11,0.2563758389261745,0.393939393939394,0.07499693790062467,0.0372329610916499,0.293333333333333,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0.875,0.6428571428571428,0.3333333333333333
78,8746,0.56,0.125,2024-08-23,2024-08-26,2024-08-27,0.24093959731543624,0.6262626262626264,0.9707549095659984,0.6124737767309801,0.9233333333333333,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.125,0.21428571428571427,0.3333333333333333
79,1957,0.08000000000000007,0.75,2024-06-25,2024-07-03,2024-07-08,0.6275167785234899,0.5656565656565657,0.7654983056383456,0.4393287275758139,0.6233333333333331,0,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,0.75,0.8571428571428571,0.9999999999999999
80,8950,0.3600000000000001,0.375,2024-08-27,2024-09-01,2024-09-02,0.7953020134228188,0.6363636363636365,0.4846507165312538,0.3169596344171707,0.8199999999999998,0,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.375,0.3571428571428571,0.3333333333333333
81,9997,0.20000000000000018,0.0,2024-11-13,2024-11-15,2024-11-17,0.2080536912751678,0.4444444444444445,0.39609071979749316,0.18368629205995435,0.4333333333333331,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,0.0,0.21428571428571427,0.5
82,3900,0.6000000000000001,0.625,2024-04-21,2024-04-28,2024-04-28,0.9590604026845637,0.16161616161616163,0.728702078144776,0.12471209008244334,0.8999999999999999,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.625,0.4285714285714286,0.16666666666666666
83,4632,0.15999999999999992,0.875,2024-03-11,2024-03-20,2024-03-21,0.9906040268456375,0.98989898989899,0.91178499979586,0.9053247379115189,0.1866666666666661,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.875,0.6428571428571428,0.3333333333333333
84,7541,0.8,0.75,2024-09-28,2024-10-06,2024-10-06,0.14899328859060404,0.8989898989898991,0.3755154533948475,0.3494582315332415,0.06666666666666643,1,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,0.75,0.5,0.16666666666666666
85,7217,0.9600000000000002,1.0,2024-07-23,2024-08-02,2024-08-04,0.11543624161073825,0.8282828282828284,0.09275303147838157,0.09199129081324688,0.1766666666666663,0,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,1.0,0.7857142857142857,0.5
86,1834,0.56,1.0,2024-04-05,2024-04-15,2024-04-19,0.3711409395973154,0.35353535353535354,0.16783979096068263,0.06627739028598442,0.8033333333333328,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1.0,0.9285714285714286,0.8333333333333333
87,2860,0.9600000000000002,0.75,2024-04-02,2024-04-10,2024-04-11,0.15838926174496645,0.18181818181818182,0.06413669211611481,0.01552767232989733,0.69,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.75,0.5714285714285714,0.3333333333333333
88,5356,0.72,0.75,2024-08-13,2024-08-21,2024-08-21,0.5791946308724832,0.7979797979797981,0.5503878659208753,0.4478610979770691,0.7566666666666664,1,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,0.75,0.5,0.16666666666666666
89,7568,0.8399999999999999,0.0,2024-09-22,2024-09-24,2024-09-29,0.6342281879194631,0.13131313131313133,0.7666496550034704,0.10787169454017824,0.3799999999999999,0,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,0.0,0.4285714285714286,0.9999999999999999
90,3214,0.40000000000000013,0.5,2024-04-08,2024-04-14,2024-04-16,0.08590604026845637,0.21212121212121213,0.8730780222920835,0.19263061972508982,0.25333333333333297,0,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,0.5,0.5,0.5
91,3752,0.20000000000000018,0.375,2024-10-09,2024-10-14,2024-10-18,0.6543624161073825,0.19191919191919193,0.8102600743069448,0.16276896570185384,0.16666666666666652,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.375,0.5714285714285714,0.8333333333333333
92,6506,0.28000000000000025,0.375,2024-01-10,2024-01-15,2024-01-14,0.9610738255033556,0.24242424242424243,0.3328052913077206,0.08641196179044303,0.0066666666666663765,1,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.375,0.21428571428571427,0.0
93,8843,1.0,0.625,2024-05-24,2024-05-31,2024-05-31,0.8744966442953019,0.08080808080808081,0.0291532274527416,0.004132291078251069,0.6266666666666665,1,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.625,0.4285714285714286,0.16666666666666666
94,4394,1.0,0.625,2024-09-12,2024-09-19,2024-09-19,0.025503355704697982,0.5353535353535355,0.525517494794431,0.28904688595619704,0.8233333333333333,1,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.625,0.4285714285714286,0.16666666666666666
95,7715,0.8399999999999999,0.625,2024-01-15,2024-01-22,2024-01-23,0.4818791946308725,0.5757575757575758,0.7537704650308251,0.4403668326413,0.0033333333333329662,0,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,0.625,0.5,0.3333333333333333
96,5519,0.9199999999999999,0.0,2024-01-03,2024-01-05,2024-01-08,0.8644295302013423,0.393939393939394,0.9727166945657942,0.3895493564479654,0.6766666666666663,0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.2857142857142857,0.6666666666666666
97,7249,1.0,0.0,2024-10-04,2024-10-06,2024-10-10,0.736241610738255,0.07070707070707072,0.7827440493202139,0.06279530188457831,0.5366666666666662,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.3571428571428571,0.8333333333333333
